CLASS,PRTYPE,ADDRESS,LEASE_OWN,ACREAGE,NAME,HANDLER,MAP_INDEX,id
C,COMMUNITY,2000 PARKERS MILL RD,O,54.60000000,CARDINAL RUN PARK SOUTH,0,12,12
C,COMMUNITY,2020 ALLEGHENY WAY,O,23.09000000,BEAUMONT PRESERVE,0,5,5
S,GOLF COURSE,3725 RICHMOND RD,L,124.00000000,LAKESIDE GOLF COURSE,0,53,52
C,COMMUNITY,4001 ATHENS BOONESBORO RD,O,222.12000000,JACOBSON PARK,0,45,45
N,NEIGHBORHOOD,3434 GREENLAWN DR,O,4.70000000,WILDWOOD PARK,0,96,96
N,NEIGHBORHOOD,3800 CROSBY DR,O,16.20000000,RIVER HILL PARK,0,79,78
S,GOLF COURSE,1400 GAINESWAY DR,O,123.10000000,TATES CREEK PARK,0,87,86
N,NEIGHBORHOOD,1301 ARMSTRONG MILL RD,O,6.40000000,ARMSTRONG MILL PARKWAY,0,2,2
N,NEIGHBORHOOD,1560 LA SALLE RD,O,6.40000000,GREEN ACRES PARK,0,36,36
N,NEIGHBORHOOD,3701 KENESAW DR,O,17.13000000,HARTLAND PARK,0,38,38
N,NEIGHBORHOOD,525 ROGERS RD,O,21.80000000,MARY TODD PARK,0,61,60
N,NEIGHBORHOOD,1150 GARRISON AVE,O,8.40000000,ADDISON PARK,0,1,1
S,GOLF COURSE,469 PARKWAY DR,O,104.80000000,PICADOME,0,73,72
N,NEIGHBORHOOD,1631 TAZEWELL DR,O,2.20000000,PINE MEADOWS PARK,0,74,73
N,NEIGHBORHOOD,4496 GRAVES DR,O,13.00000000,SOUTHPOINT PARK,0,84,83
N,NEIGHBORHOOD,3308 RIDGECANE RD,O,12.57000000,HARRODS HILL PARK,0,37,37
N,NEIGHBORHOOD,4244 SOUTHMOOR PARK,O,11.13000000,WAVERLY PARK,0,93,93
N,NEIGHBORHOOD,2393 DOGWOOD TRACE BLVD,O,18.61000000,DOGWOOD PARK,0,24,24
N,NEIGHBORHOOD,1960 OLD HIGBEE MILL RD,O,8.13000000,CLEMENS PARK,0,17,17
N,NEIGHBORHOOD,550 ELK LAKE DR,O,13.20000000,MOUNT TABOR PARK,0,69,68
S,NP/GREENWAYS,500 ALUMNI DR,L,99.44000000,THE ARBORETUM,0,90,87
