GISID,type,name,address,acres,baseball,basketball,center,discgolf,dogpark,football,golf,horseshoes,bldg,openfields,pavedtrails,playground,restroom,shelter,swimming,tennis,volleyball
0,Park,Pyramid Park,201 Driscoll,2.6,,2,,,,,,,,,,X,,1,,,
1,Park,Belleau Woods Park,3770 Forest Green Dr,18.1,,,,,,,,,,X,0.4,X,,1,,2,
2,Park,Brucetown Park,770 Florida St,0.3,,1,,,,,,,,,,X,,,,,
3,Park,Burley Park,301 Burley Ave,0.6,,1,,,,,,,,,,X,,,,,
4,Park,Cardinal Run Park North,2101 Parkers Mill Rd,137.6,,,,,,,,,,,,,,,,,
5,Community Center,Carver Park,522 Patterson St,1,,1,,,,,,,X,,,X,,,,,
6,Park,Douglass Park,726 Georgetown St,27.2,3,3,,,,1,,,X,X,0.2,X,X,1,X,2,
7,Park,Elkhorn Park,444 Cane Run Road,4.6,,,,,,,,,,X,,,,,,,
8,Park,Hill-N-Dale Park,2351 Maplewood Dr,3.7,,1,,,,,,,,X,,X,,1,,,
9,Park,Isaac Murphy Art Garden,577 E. Third St.,0.3,,,,,,,,,,,,,,,,,
10,Golf Course,Kearney Links Golf Course,3403 Kearney Rd,200,,,,,,,X,,,,,,,,,,
11,Park,Kenwick Park,312 Owsley Ave.,0.34,,1,x,,,,,,,,,X,,,,,
12,Park,Lansdowne-Merrick Park,3190 Montavesta Rd,33.5,1,1,,,,1,,,,X,1.4,X,,1,,4,1
13,Park,Liberty Park,2789 Liberty Rd.,69,,,,,,,,,,X,1.3,,,,,,
14,Park,Lou Johnson Park,190 Prall St,1.5,,1,,,,,,,X,X,,X,X,1,,,
15,Park,Mapleleaf Forest Park,3161 Mapleleaf Dr,10.03,,,,,,,,,,X,,X,,,,
16,Park,Meadowbrook Park,372 Harvard Ln,11.5,1,1,,,,,,,,X,0.3,X,,1,,2
17,Park,Northeastern Park,140 Northeastern Ave,0.65,,,,,,,,,,X,,X,,,,
18,Park,Phoenix Park,100 East Main St,1,,,,,,,,,,,,,,,,
19,Park,Raven Run Nature Sanctuary,3788 Raven Run Way,734.32,,,,,,,,,,X,1.5,,X,,,
20,Park,Shillito Park,300 West Reynolds Rd,176,8,2,,X,,4,,,,X,,X,X,6,X,13
21,Park,Smith Street Park,426 Smith St,0.2,,,,,,,,,,,,,,,,
22,Park,Southend Park,701 DeRoode St,7,,,,,,,,,,,,,,,,
23,Park,Speigle Heights Park,424 Speigle St,2,,1,,,,,,,,X,,X,,1,,
24,Park,Thoroughbred Park,121 Midland Ave,3.1,,,,,,,,,,,,,,,,
25,Park,Valley Park,2077 Cambridge Dr,18.89,2,1,,,,2,,,X,X,,X,X,1,,
26,Park,Veterans Park,650 Southpoint Dr,235.39,6,,,X,,3,,,,X,1.1,X,X,4,,
27,Park,Wellington Park,565 Wellington Way,38.3,,,,,X,,,,,X,1.6,,,,,
28,Community Center,Bell Place,545 Sayre Ave,4.7,,,S,,,,,2,,X,,,X,,,
29,Park,Eastland Park,729 Roland Ave,0.6,,,,,,,,,,,,,,,,
30,Park,Kenawood Park,612 Bryanwood Pkwy,10.7,3,1,,,,,,,,X,,X,X,2,,
31,Park,Dixie Park,1850 Eastland Pkwy,8.6,,,,X,,,,,,,,X,,,,,
32,Park,Model Airplane Facility,4200 Hedger Ln,8.69,,,,,,,,,,,,,,,,,
33,Park,Garden Springs Park,2005 Dogwood Dr,7.26,1,1,,,,,,,,,0.5,,X,1,,,1
34,Park,Cheapside,251 West Main St,1,,,,,,,,,,,,,,1,,,
35,Park,Gratz Park,250 West Third St,2.1,,,,,,,,,,X,,,,,,,
36,Park,Woodhill Park,457 Larkwood Dr,10.4,1,1,,,,1,,,X,X,,X,X,1,,,
37,Park,Donaldson Park,9790 Tates Creek Rd,0.6,,,,,,,,,,,,,,,,,
38,Park,Marlboro Park,1870 Benton Pl,9.3,1,1,,,,,,,X,X,,X,,,,2,
39,Park,Johnson Heights Park,846 Johnsdale Dr.,19.3,1,1,,,,,,,,X,,X,,1,,,
40,Park,Preston's Springs Park,1937 Dunkirk Dr,15.95,,,,,,,,,,X,,,,,,,
41,Park,Masterson Hills Park,277 Lucille Dr,12.4,,,,,,,,,,X,,X,,,,,
42,Park,Athens Ballfield Complex,5780 Athens-Boonesboro Rd,14.99,3,,,,,,,,,,,,X,1,,,
43,Park,Duncan Park,530 North Limestone St,6,,1,,,,,,,,X,,X,,,,,
44,Park,Stonewall Park,3205 Cornwall Dr,9.14,,,,,,,,,,X,,,,,,,
45,Park,Thompson Road Park,319 Thompson Rd,0.5,,1,,,,,,,,,,X,,1,,,
46,Park,Elizabeth Street Park,1420 Elizabeth St,3.3,,1,,,,,,,,X,0.3,X,,1,,,1
47,Park,Pleasant Ridge Park,1350 Pleasant Ridge Dr,11.1,,,,,,1,X,,,X,,X,X,1,,,
48,Park,Southland Park,625 Hill-n-Dale Rd,16.6,2,1,,,,1,,,,X,,X,X,1,X,2,1
49,Park,Gardenside Park,1835 Yorktown Rd,4.5,,1,,,,,,1,,X,0.1,X,,1,,1,
50,Park,Cross Keys Park,1240 Cross Keys Rd,10.9,,,,,,,,,,X,0.3,,,,,,
51,Park,Wolf Run Park,1618 Maywick View Ln,10,3,1,,,,,,,,X,,X,,,,,
52,Park,Beaumont Park,2034 Williamsburg Dr,9.3,,,,,,,,,,X,,,,,,,
53,Park,Coolavin Park,550 W. Sixth St,19.2,1,,,,,,,,X,X,,X,,,,,
54,Park,Zandale Park,750 Zandale Dr,3.4,,,,,,,,,,X,,,,,,,
55,Park,Kirklevington Park,396 Redding Rd,32.2,2,1,,,,1,,,,X,0.9,X,X,1,,4,4
56,Park,Gainesway Park,3460 Milano Rd.,34.99,1,1,X,,,1,,,X,X,0.6,X,X,2,,4,
57,Golf Course,Meadowbrook Golf Course,360 Wilson Downing,27.41,,,,,,,X,,,,,,,,,,
58,Park,King Property,1937 Deer Haven Ln,23.93,,,,,,,,,,,,,,,,,
59,Park,Charles Young Park,540 East Third St,3.6,,2,X,,,,,,,X,,X,X,,,,
60,Park,Triangle Park,400 West Main St,1.2,,,,,,,,,,,,,,,,,
61,Park,Hisle Park,3601 Briar Hill Rd,279.92,,,,,,,,,,,,,,,,,
62,Park,Meadowthorpe Park,333 Larch Ln,5.5,1,1,,,,,,,X,X,,X,X,1,,2,
63,Park,Highlands Park,1991 Mark Ave,11.93,,1,,,,,,,X,X,,X,X,,,,
64,Park,McConnell Springs,416 Rebmann Ln,25.51,,,,,,,,,,X,0.5,,X,1,,,
65,Park,Whitney Young Park,1033 St. Martins Ave,9.4,,1,,,,,,,X,X,,X,,,,4,
66,Park,Lakeview Park,350 Lakeshore Dr,15.7,,,,,,,,,,X,0.5,X,,,,,
67,Park,Constitution Park,1670 Old Paris Rd,26,2,2,,,,1,,,,X,0.9,X,X,2,X,2,
68,Park,Woodward Heights Park,651 W. High St,1.4,,,,,,,,,,X,,,,,,,
69,Park,Higbee Mill Park,1421 Higbee Mill Rd,8.06,,,,,,1,,,,X,0.5,,,,,,
70,Park,Martin Luther King Park,1625 McCullough Dr,37.6,1,1,,,,2,,,X,X,0.6,X,X,1,,2,1
71,Park,Masterson Station Park,3051 Leestown Rd,659.75,,,,,X,20,,1,X,X,0.5,X,,3,,,1
72,Park,Woodland Park,601 E High St,19.4,1,1,,,,,,2,,X,,X,X,2,X,4,
73,Park,Ecton Park,956 Turkey Foot Rd,11.4,2,1,,,,,,,,X,,X,X,1,,4,
74,Park,Oakwood Park,1050 Briarwood Dr,10.9,1,1,,,,,,,X,,,X,X,1,,,
75,Park,Coldstream Park,1850 Pisacano Dr,220,,,,,X,,,,,,2,,,,,,
76,Park,Clinton Road Park,200 Clinton Rd,1.2,,,,,,,,,,X,,,,,,,
77,Park,Castlewood Park,201 Castlewood Dr,32.4,3,2,X,,,,,,,X,,X,X,,X,5,
78,Park,Berry Hill Park,3489 Buckhorn Dr,9.23,,1,,,,,,,,X,,X,,1,X,2,
79,Park,Idle Hour Park,212 St Ann Dr,23.8,3,1,,,,1,,,,X,,X,X,1,,4,
80,Park,The Arboretum,500 Alumni Dr.,99.44,,,,,,,,,,X,2,,,,,,
81,Park,Mount Tabor Park,550 Elk Lake Dr,13.2,1,1,,,,5,,,,X,0.4,X,,1,,2,
82,Park,Clemens Park,1960 Old Higbee Mill Rd,8.13,,,,,,,,,,,,,,,,,
83,Park,Dogwood Park,2393 Dogwood Trace Blvd,18.61,,,,,,,,,,X,0.6,X,,1,,,
84,Park,Waverly Park,4244 Southmoor Pk,11.13,,1,,,,1,,,,X,0.7,X,,1,,2,
85,Park,Harrods Hill Park,3308 Ridgecane Rd,12.57,,1,,,,5,,,,X,0.5,X,,1,,,
86,Park,Southpoint Park,4496 Graves Dr,13,,,,,,,,,,X,0.5,X,,,,,
87,Park,Pine Meadows Park,1631 Tazwell Dr,2.2,,1,,,,,,,,X,0.2,X,,,,,
88,Golf Course,Picadome,469 Parkway Dr,104.8,,,,,,,X,,X,,,,X,,X,,
89,Park,Addison Park,1150 Garrison Ave,8.4,,1,,,,2,,,,X,0.4,X,,1,,2,1
90,Park,Mary Todd Park,525 Rogers Rd,21.8,1,1,,,,,,,,X,0.3,X,X,8,,,
91,Park,Hartland Park,3701 Kenesaw Dr,17.13,,,,,,1,,,,X,0.5,X,,1,,,
92,Park,Green Acres Park,1560 LaSalle Rd,6.4,1,2,,,,,,,X,X,,X,,2,,,
93,Park,Armstrong Mill Parkway,1301 Armstrong Mill Rd,6.4,,,,,,,,,,X,,,,,,,
94,Park,Tates Creek Park,1400 Gainesway Dr,123.1,,,,,,,X,,X,,,,,,X,,
95,Park,River Hill Park,3800 Crosby Dr,16.2,1,1,,X,,,,,,X,0.5,X,X,1,,3,
96,Park,Wildwood Park,3434 Greenlawn Dr,4.7,,1,,,,,,,X,,,X,,1,,,
97,Park,Jacobson Park,4001 Athens-Boonesboro Rd.,216,,1,,,X,1,,,,X,,X,X,7,,,4
98,Golf Course,Lakeside Golf Course,3725 Richmond Rd,124,,,,,,,X,,,,,,,,,,
99,Park,Beaumont Preserve,2020 Allegheny Way,23.09,,,,,,,,,,X,1.2,,,,,,
100,Park,Cardinal Run Park South,2000 Parkers Mill Rd,54.6,7,,,,,,,,,,0.9,X,X,,,,
