GISID,parkid,type,name,address,acres,baseball_softball,basketball,community_center,discgolf,dogparks,football,golf,horseshoes,neighborhoodbldg,openfields,pavedtrails,playground,restroom,shelter,swimming,tennis,volleyball
,1,Park,Addison Park,1150 Garrison Ave,8.4,,1,,,,2,,,,X,0.4,X,,1,,2,1
,2,Park,Armstrong Mill Parkway,1301 Armstrong Mill Rd,6.4,,,,,,,,,,X,,,,,,,
,3,Park,Athens Ballfield Complex,5780 Athens-Boonesboro Rd,14.99,3,,,,,,,,,,,,X,1,,,
,5,Park,Beaumont Park,2034 Williamsburg Dr,9.3,,,,,,,,,,X,,,,,,,
,6,Park,Beaumont Preserve,2020 Allegheny Way,23.09,,,,,,,,,,X,1.2,,,,,,
,7,Community Center,Bell Place,545 Sayre Ave,4.7,,,S,,,,,2,,X,,,X,,,,
,8,Park,Belleau Woods Park,3770 Forest Green Dr,18.1,,,,,,,,,,X,0.4,X,,1,,2,
,9,Park,Berry Hill Park,3489 Buckhorn Dr,9.23,,1,,,,,,,,X,,X,,1,X,2,
,10,Park,Brucetown Park,770 Florida St,0.3,,1,,,,,,,,,,X,,,,,
,11,Park,Burley Park,301 Burley Ave,0.6,,1,,,,,,,,,,X,,,,,
,12,Park,Cardinal Run Park North,2101 Parkers Mill Rd,137.6,,,,,,,,,,,,,,,,,
,13,Park,Cardinal Run Park South,2000 Parkers Mill Rd,54.6,7,,,,,,,,,,0.9,X,X,,,,
,14,Community Center,Carver Center,522 Patterson St,1,,1,,,,,,,X,,,X,,,,,
,16,Community Center,Castlewood Com. Ctr.,209 Castlewood Dr.,,,,,,,,,,,,,,,,,,
,15,Park,Castlewood Park,201 Castlewood Dr,32.4,3,2,X,,,,,,,X,,X,X,,X,5,
,17,Park,Charles Young Park,540 East Third St,3.6,,2,X,,,,,,,X,,X,X,,,,
,18,Park,Cheapside,251 West Main St,1,,,,,,,,,,,,,,X,,,
,19,Park,Clemens Park,1960 Old Higbee Mill Rd,8.13,,,,,,,,,,,,,,,,,
,20,Park,Clinton Road Park,200 Clinton Rd,1.2,,,,,,,,,,X,,,,,,,
,21,Park,Coldstream Park,1850 Pisacano Dr,220,,,,,X,,,,,,2,,,,,,
,22,Park,Constitution Park,1670 Old Paris Rd,26,2,2,,,,1,,,,X,0.9,X,X,2,X,2,
,23,Park,Coolavin Park,550 W. Sixth St,19.2,1,,,,,,,,X,X,,X,,,,,
,24,Park,Cross Keys Park,1240 Cross Keys Rd,10.9,,,,,,,,,,X,0.3,,,,,,
,25,Park,Dixie Park,1850 Eastland Pkwy,8.6,,,,X,,,,,,,,X,,,,,
,26,Park,Dogwood Park,2393 Dogwood Trace Blvd,18.61,,,,,,,,,,X,0.6,X,,X,,,
,27,Park,Donaldson Park,9790 Tates Creek Rd,0.6,,,,,,,,,,,,,,,,,
,28,Park,Douglass Park,726 Georgetown St,27.2,3,3,,,,1,,,X,X,0.2,X,X,1,X,2,
,29,Community Center,Dunbar Com. Ctr.,545 North Upper St,3.5,,,X,,,,,,,,,,X,,,,
,30,Park,Duncan Park,530 North Limestone St,6,,1,,,,,,,,X,,X,,,,,
,31,Park,Ecton Park,956 Turkey Foot Rd,11.4,2,1,,,,,,,,X,,X,X,1,,4,
,32,Park,Elizabeth Street Park,1420 Elizabeth St,3.3,,1,,,,,,,,X,0.3,X,,1,,,1
,33,Park,Elkhorn Park,444 Cane Run Road,4.6,,,,,,,,,,X,,,,,,,
,34,Park,Gainesway Park,3460 Milano Rd.,34.99,1,1,X,,,1,,,X,X,0.6,X,X,2,,4,
